Reference,Experiment Type,Marine/Fresh,Group,Species,Low,Elevated,Type of response,ResponseLow,ResponseAmbientCO2,ResponseElevatedCO2,Secondary nutrient,ResponseElevatedSecondary,ResponseIntereaction,Significance of CO2,HalfSaturationCO2,half saturation unit,HalfSaturationHCO3,CO2 compensation point,compensation point unit,Column1,Carbon Concentration Factor,RubisCO specifity factor,Notes
"Riebesell, U., Wolf-Gladrow, D. a. & Smetacek, V. 1993 Carbon dioxide limitation of marine phytoplankton growth rates. Nature 361, 249_251. (doi:10.1038/361249a0)",Lab,marine,diatom,Rhizosolenia cf. alata,,,growth rate,,0.691618,0.855637,,,,,,,,,,,,,3 Species CO2 presented as uM (ambient ~ 3.5-7 and high 18-23)
"Riebesell, U., Wolf-Gladrow, D. a. & Smetacek, V. 1993 Carbon dioxide limitation of marine phytoplankton growth rates. Nature 361, 249_251. (doi:10.1038/361249a0)",Lab,marine,diatom,Thalassiosira punctigera,,,growth rate,,0.977927,1.221946,,,,,,,,,,,,,
"Riebesell, U., Wolf-Gladrow, D. a. & Smetacek, V. 1993 Carbon dioxide limitation of marine phytoplankton growth rates. Nature 361, 249_251. (doi:10.1038/361249a0)",Lab,marine,diatom,Ditylum brightwellii,,,growth rate,,1.054942,1.351317,,,,,,,,,,,,,
"Wu, Y., Gao, K. & Riebesell, U. 2010 CO2-induced seawater acidification affects physiological performance of the marine diatom Phaeodactylum tricornutum. Biogeosciences 7, 2915_2923. (doi:10.5194/bg-7-2915-2010)",Lab,marine,diatom,Phaeodactylum tricornutum,,,growth rate,,1.226409,1.28788,,,,,,,,,,,,,
"Iglesias-Rodriguez, M. D. et al. 2008 Phytoplankton calcification in a high-CO2 world. Science (New York, N.Y.) 320, 336_40. (doi:10.1126/science.1154122)",Lab,marine,coccolithophore,Emiliania huxleyi ,,,growth rate,,0.7496815,0.5240155,,,,,,,,,,,,,Mean of many values other CO2 concentrations also available
"Chen, S. & Gao, K. 2011 Solar ultraviolet radiation and CO2-induced ocean acidification interacts to influence the photosynthetic performance of the red tide alga Phaeocystis globosa (Prymnesiophyceae). Hydrobiologia 675, 105_117. (doi:10.1007/s10750-011-0807-0)",Lab,marine,prymnesiophyceae,Phaeocystis globosa ,,,,,1.60099,1.596449592,,,,,,,,,,,,,
"Raven, J. & Johnston, A. 1991 Mechanisms of Inorganic-Carbon Acquisition in Marine Phytoplankton and Their Implications for the Use of Other Resources. Limnology and Oceanography;(United States) 36, 1701_1714. ",Lab,,cyanobacteria,Oscillatoria waoronichii,,,,,,,,,,,0.64,mmol/m3,19.6,,,,,,
"Raven, J. & Johnston, A. 1991 Mechanisms of Inorganic-Carbon Acquisition in Marine Phytoplankton and Their Implications for the Use of Other Resources. Limnology and Oceanography;(United States) 36, 1701_1714. ",Lab,,cyanobacteria,Synechococcus sp.,,,,,,,,,,,0.4,mmol/m3,42,,,,,,
"Raven, J. & Johnston, A. 1991 Mechanisms of Inorganic-Carbon Acquisition in Marine Phytoplankton and Their Implications for the Use of Other Resources. Limnology and Oceanography;(United States) 36, 1701_1714. ",Lab,freshwater,rhodophyceae,Porphyridium cruentum ,,,,,,,,,,,0.66,mmol/m3,20.8,,,,,,
"Raven, J. & Johnston, A. 1991 Mechanisms of Inorganic-Carbon Acquisition in Marine Phytoplankton and Their Implications for the Use of Other Resources. Limnology and Oceanography;(United States) 36, 1701_1714. ",Lab,terrestrial,rhodophyceae,Porphyridium purpureum ,,,,,,,,,,,1.7,mmol/m3,159,,,,,,
