name,in-28F,pH2_s-28F,1-28F,2-28F,3-28F,4-28F,62-28F,48-28F,53-28F,65-28F,60-28F,67-28F,90-28F,85-28F,96-28F,97-28F,98-28F,106-28F,71-28F,79-28F,pH2_r-28F,pH12-28F,salt-28F
Bacteria ; Proteobacteria ; Betaproteobacteria ; Burkholderiales ; Burkholderiaceae ; Burkholderia ; Burkholderia vietnamiensis,0,0,0,0,0,0,0,0,0,0,0,0,0.0303030303030303,0.127376053301979,0,0,0,0,0,0,0,0,0
Bacteria ; Proteobacteria ; Betaproteobacteria ; Burkholderiales ; Comamonadaceae ; Delftia ; Delftia sp,0,0,0,0,0,0.0140193466984439,0,0,0,4.63833927992215,0,16.3325183374083,0,0,0,0,0,0,0,0,0,0,0
Bacteria ; Proteobacteria ; Betaproteobacteria ; Burkholderiales ; Burkholderiaceae ; Burkholderia ; Burkholderia cenocepacia,0,0,0,0,0,0,0,0,0,0,0,0,0.0303030303030303,0.0881834215167549,0,0,0,0,0,0,0,0,0
Bacteria ; Proteobacteria ; Gammaproteobacteria ; Enterobacteriales ; Enterobacteriaceae ; Serratia ; Serratia liquefaciens,0,0,7.32183534005858,0.0135116876097825,0.15826958586125,0.0700967334922193,0.0196232339089482,26.2299613045882,15.1826015592942,0.259487512163477,30.4194778527427,0,0,19.047619047619,23.5467980295567,0,0,0,0,0,0,0,0
Bacteria ; Proteobacteria ; Alphaproteobacteria ; Rhodospirillales ; Acetobacteraceae ; Acetobacter ; Acetobacter pasteurianus,0,0,0,0,0,0.0420580400953316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria ; Proteobacteria ; Gammaproteobacteria ; Pseudomonadales ; Pseudomonadaceae ; Pseudomonas ; Pseudomonas chlororaphis,0,0,0.0325414904002603,0.351303877854344,0,2.52348240571989,0.54945054945055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria ; Proteobacteria ; Gammaproteobacteria ; Pseudomonadales ; Pseudomonadaceae ; Pseudomonas ; Pseudomonas fluorescens,0,0,35.4051415554832,12.0254019727064,0.316539171722501,0.658909294826861,11.5777080062794,27.5013819789939,5.49856380796061,3.21115796302303,2.49339982399531,0.58679706601467,39.020202020202,0,0,0,0,0,66.0579661584855,0,0,0,0
Bacteria ; Proteobacteria ; Betaproteobacteria ; Neisseriales ; Neisseriaceae ; Microvirgula ; Microvirgula aerodenitrificans,0,0,0,0,0,0.196270853778214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria ; Proteobacteria ; Gammaproteobacteria ; Pseudomonadales ; Pseudomonadaceae ; Pseudomonas ; Pseudomonas veronii,0,0,1.5619915392125,0.702607755708688,0,3.63101079489696,0.74568288854003,0,2.0927369716865,0.0973078170613039,0.088002346729246,0.831295843520782,0,0,0,0,0,0,0,0.21913190054783,0,0,0
Bacteria ; Proteobacteria ; Betaproteobacteria ; Burkholderiales ; Burkholderiaceae ; Burkholderia ; Burkholderia oklahomensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0489907897315305,0,0,0,0,0,0,0,0,0
