name,in-28F,pH2_s-28F,1-28F,2-28F,3-28F,4-28F,62-28F,48-28F,53-28F,65-28F,60-28F,67-28F,90-28F,85-28F,96-28F,97-28F,98-28F,106-28F,71-28F,79-28F,pH2_r-28F,pH12-28F,salt-28F
Nitrobacteria sp::Porphyrobacter sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aeromonas caviae::Aeromonas enteropelogenes::Aeromonas punctata,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas teessidea::Pseudomonas sp,0,0,0,1,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pantoea agglomerans::Klebsiella sp,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Serratia liquefaciens::Serratia proteamaculans::Serratia sp,0,0,51,0,0,1,1,327,96,0,298,0,0,675,860,0,0,0,0,0,0,0,0
Aranicola sp,0,0,1,0,0,0,0,18,24,0,58,0,0,66,26,0,0,0,0,0,0,0,0
Mitsuaria sp,0,0,0,7,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Propionibacterium acnes::Propionibacterium sp,0,0,0,0,0,0,0,0,32,9,6,6,0,0,0,0,0,0,0,0,0,0,0
Serratia liquefaciens::Serratia proteamaculans,0,0,3,0,0,0,0,2,4,0,5,0,0,20,4,0,0,0,0,0,0,0,0
Nitrobacteria sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Citrobacter freundii::Citrobacter sp,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raoultella ornithinolytica::Klebsiella sp,0,0,0,0,0,8,0,0,0,6,1,0,0,0,0,0,0,0,0,20,0,0,0
Leptolyngbya sp,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Herbaspirillum frisingense,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Plectonema cf battersii::Halomicronema sp,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dolichospermum fallax::Aphanizomenon cf gracile::Anabaena cylindrica::Dolichospermum planctonicum,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aphanizomenon ovalisporum::Anabaena bergii,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geodermatophilus obscurus,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Pantoea sp,0,0,27,2,0,0,4,0,26,14,8,0,0,0,0,0,0,0,0,0,0,0,0
Serratia liquefaciens::Serratia sp,0,0,16,1,0,2,0,94,27,0,97,0,0,210,316,0,0,0,0,0,0,0,0
Asaia sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0
Serratia marcescens::Serratia sp,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1293,0,0,0,0
Yersinia kristensenii::Aeromonas sp::Yersinia sp,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klebsiella sp,0,0,3,2,0,4,0,1,0,0,5,0,0,3,1,0,0,0,0,4,0,0,0
Aphanizomenon cf gracile::Anabaena cylindrica,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anabaena cylindrica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,853,1505
Serratia plymuthica::Rahnella sp,0,0,39,0,0,3,2,33,13,3,14,0,0,58,210,0,0,0,0,0,0,0,0
Enterobacter amnigenus,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0
Rahnella sp,0,0,8,0,2,2,0,11,3,47,26,2,0,21,137,0,99,0,0,34,0,0,0
Phormidium sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,58
Leptolyngbya antarctica,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dolichospermum circinale,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Serratia plymuthica::Serratia sp::Serratia proteamaculans,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
Cronobacter sakazakii,0,0,4,0,0,1,0,2,1,0,0,0,0,1,9,0,0,0,0,0,0,0,0
Microvirgula sp,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aranicola proteolyticus,0,0,1,0,0,0,0,7,0,0,1,0,0,2,4,0,0,0,0,0,0,0,0
Chryseobacterium taiwanense,0,0,0,0,0,110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citrobacter freundii,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serratia plymuthica,0,0,10,0,0,0,0,10,2,0,6,0,0,20,72,0,0,0,0,0,0,0,0
Nostochopsis lobatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6
Trichormus variabilis,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
Pseudomonas sp::Serratia sp,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Rhizobium sp,0,0,1,0,0,2,2,0,0,0,0,0,11,1,0,0,0,0,0,0,0,60,175
Gloeocapsa sp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
Aquitalea magnusonii::Aquitalea sp,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas trivialis,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ewingella americana,0,0,0,0,1,0,0,0,1,16,11,0,0,0,0,0,936,0,0,0,0,0,0
Cyanothece sp,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Gloeocapsa sp::Cyanothece sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11
Aranicola sp::Serratia sp,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
Merismopedia glauca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Citrobacter sp,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yersinia sp,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Massilia albidiflava,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asaia bogorensis::Asaia sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Leptolyngbya frigida,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klebsiella sp::Enterobacter sp,0,0,0,0,0,6,1,0,0,1,1,0,0,0,0,0,0,0,0,18,0,0,0
Serratia proteamaculans,0,0,1,0,2,0,0,1,13,2,13,0,0,0,3,0,0,0,0,0,0,0,0
Serratia plymuthica::Rahnella sp::Aranicola proteolyticus,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Aeromonas caviae,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stigonema ocellatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8
Massilia sp::Serratia sp,0,0,22,0,1,4,0,63,35,1,84,0,0,111,656,0,0,0,0,0,0,0,0
Halomicronema excentricum,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hafnia alvei,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0
Aeromicrobium sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
Enterobacter sp::Klebsiella sp,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serratia liquefaciens::Massilia sp::Serratia sp,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Agrobacterium rhizogenes::Agrobacterium sp::Rhizobium sp,0,0,0,0,0,0,0,14,27,0,49,0,236,63,0,0,0,0,0,0,0,0,0
Microcoleus chthonoplastes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duganella zoogloeoides::Duganella sp,0,0,0,2,0,11,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bradyrhizobium sp,1,0,1,0,0,0,0,0,2,59,0,83,27,10,0,0,0,0,0,0,0,0,0
Afipia sp::Bradyrhizobium sp,0,0,0,0,0,0,1,0,0,25,0,11,0,0,0,0,0,0,0,0,0,0,0
Aliihoeflea aestuarii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0
Brevundimonas diminuta::Brevundimonas sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
Rhodomicrobium sp,0,0,0,0,0,0,0,0,0,6,0,32,0,0,0,0,0,0,0,0,0,0,0
Oscillatoria sp,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
