id_study,system,y0.n0p0,y0.n1p0,y0.n0p1,y0.n1p1,cat,rn,rp,rnp,rint
HLH530,FRESHWATER,2.181818182,4.90909090900002,3.27272727299999,5.45454545499998,e,0.810930216114481,0.405465108108161,0.916290731874151,-24.9999999770847
HLH531,FRESHWATER,0.545454545,0.872727273,1.090909091,1.2,f,0.470003630391569,0.693147181476612,0.788457361197604,-40.0000001833333
HLH533,FRESHWATER,1.418181818,1.2,1.636363636,1.527272727,g,-0.167054084534961,0.143100843546656,0.0741079721033549,7.69230768688358
HLH534,FRESHWATER,0.327272727,0.545454545,0.545454545,0.436363636,f,0.510825623765991,0.510825623765991,0.287682072451781,-100
HLH535,FRESHWATER,2.181818182,2.181818182,2.290909091,2.509090909,g,0,0.048790164125781,0.139761942255593,9.99999999083331
HLH536,FRESHWATER,3.81818181800001,9.81818181799999,3.81818181800001,17.4545454499999,b,0.94446160886995,0,1.51982575353161,199.999999895236
HLH537,FRESHWATER,2.72727272699999,7.09090909099999,3.27272727299999,12,b,0.95551144514026,0.18232155697729,1.48160454102422,159.999999992667
HLH538,FRESHWATER,2.94545454499999,8.72727272700004,2.4,14.18181818,b,1.08618976879263,-0.20479441249169,1.57169758447737,203.703703667236
HLH542,FRESHWATER,2.5,3.50000000000001,8.49999999999999,17.0000000000001,d,0.336472236621215,1.22377543162211,1.91692261218207,300.000000000003
HLH543,FRESHWATER,15,22.0000000000001,10,68.0000000000002,h,0.38299225225611,-0.40546510810816,1.5114575040739,340
HLH544,FRESHWATER,5.99999999999997,11,19,42.0000000000001,d,0.60613580357032,1.15267950993839,1.94591014905532,300.000000000003
HLH545,FRESHWATER,1.9,2,2.9,6.30000000000002,b,0.0512932943875498,0.422856850820035,1.19869574722509,173.684210526317
HLH546,FRESHWATER,3.50000000000001,9.00000000000001,10.5,11.4999999999999,f,0.94446160884085,1.09861228866811,1.18958406687383,-128.57142857143
HLH547,FRESHWATER,41.0000000000001,32.0000000000001,52.0000000000001,61.9999999999999,c,-0.24783616390458,0.23767165187712,0.41356231834078,46.3414634146334
HLH548,FRESHWATER,1.8,3.2,1.3,3,a,0.575364144903561,-0.325422400434628,0.510825623765991,16.6666666666669
HLH549,FRESHWATER,10.5,27.9999999999999,9.50000000000005,42.0000000000001,b,0.98082925301172,-0.10008345855698,1.38629436111989,142.857142857144
HLH551,FRESHWATER,0.239999999999999,0.179999999999999,0.2,0.320000000000002,c,-0.28768207245178,-0.18232155679395,0.28768207245179,75.0000000000008
HLH552,FRESHWATER,19,23,25.9999999999999,77.9999999999999,c,0.19105523676271,0.31365755885504,1.41226984752315,252.631578947368
HLH554,FRESHWATER,13.5,20.9999999999999,19.5,23.4999999999999,e,0.44183275227904,0.36772478012532,0.55431073570573,-25.9259259259263
HLH555,FRESHWATER,5,22.4999999999999,12,34.9999999999999,d,1.50407739677627,0.8754687373539,1.94591014905531,110
