name,1-SSU,2-SSU,3-SSU,4-SSU,85-SSU,97-SSU,71-SSU,62-SSU,48-SSU,53-SSU,65-SSU,60-SSU,67-SSU,90-SSU,96-SSU,98-SSU,106-SSU,79-SSU
Helminthosphaeriaceae::Magnaporthaceae,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Hysteriaceae::Teratosphaeriaceae,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basidiobolaceae,0,0,0,0,0,0,537,0,0,1,0,0,0,0,0,0,3,4761
Mucoraceae,0,0,11,0,0,0,26,0,0,0,0,0,0,56,0,0,0,0
Elaphomycetaceae,0,0,0,0,0,5,0,0,6,20,0,0,0,0,0,0,0,0
Cordycipitaceae::Hypocreales (family),48,0,0,0,0,0,0,0,0,27,0,0,0,0,7,0,0,0
Elaphomycetaceae::Trichocomaceae,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0
Davidiellaceae::Helotiales (family),0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Gloeophyllaceae::Lentinaceae,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ascomycota (family),0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Erythrobasidiaceae,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
Umbelopsidaceae,1501,0,57,0,133,0,492,0,0,0,16532,0,146,0,0,0,0,0
Thamnidiaceae::Pilobolaceae,0,0,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mucoraceae::Thamnidiaceae::Pilobolaceae,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thamnidiaceae::Mucoraceae::Pilobolaceae,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bionectriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Helotiaceae::Helotiales (family)::Leotiomycetes (family),0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ophiocordycipitaceae::Clavicipitaceae,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hymenochaetales (family),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tremellaceae::Tremellales (family),0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Tremellales (family)::Filobasidiales (family),0,0,0,0,0,0,18,0,0,0,0,0,3,0,0,0,0,0
Filobasidiales (family)::Mycosphaerellaceae,0,0,0,0,0,0,742,0,0,0,0,0,636,0,0,0,0,0
Nectriaceae::Hypocreales (family),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dermateaceae,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Diatrypaceae,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cystofilobasidiales (family)::Cystofilobasidiaceae,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Trichocomaceae::Hypocreaceae,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Gondwanamycetaceae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cystofilobasidiales (family),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Coriolaceae,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
