name,1-SSU,2-SSU,3-SSU,4-SSU,85-SSU,97-SSU,71-SSU,62-SSU,48-SSU,53-SSU,65-SSU,60-SSU,67-SSU,90-SSU,96-SSU,98-SSU,106-SSU,79-SSU
Mucor sp,0,0,0,0,0,0,26,0,0,0,0,0,0,56,0,0,0,0
Ambomucor (unk species),0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penicillium (unk species),0,0,0,0,0,1,0,0,9,91,0,0,0,0,0,0,0,0
Potebniamyces (unk species),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penicillium chrysogenum,0,0,1,0,0,2,0,0,3,36,0,2,0,0,0,0,0,0
Aspergillus (unk species),0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
Eurotium (unk species),0,0,0,0,0,0,0,0,0,63,0,1,0,0,0,0,0,0
Cryptosphaeria (unk species),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Myrothecium cinctum,0,0,1,0,0,1,0,3,0,0,0,1,0,2,2,0,0,0
Aspergillus niger,0,0,1,0,0,6,0,0,4,120,0,0,0,0,0,0,0,0
Bullera ninhbinhensis,0,0,0,0,0,0,9,0,0,1,589,6,0,0,0,0,0,0
Fusarium oxysporum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mortierella sp,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mucor genevensis,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penicilliopsis clavariiformis,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Cerrena sp,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0
Ambomucor seriatoinflatus,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mortierella (unk species),21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monascus (unk species),0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
Mortierella indohii,525,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Mucor hiemalis,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eupenicillium crustaceum,0,0,134,0,1,3,0,0,13,108,0,3,0,1,0,0,0,0
Mucor (unk species),0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydropisphaera (unk species),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mortierella minutissima,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eurotium cristatum,0,0,0,0,0,0,0,0,6,117,0,2,0,0,0,0,0,0
Cystofilobasidiales (family) (unk genus),0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Spadicoides (unk species),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bullera (Tremellales) (unk species),0,0,0,0,0,0,2,0,0,0,39,0,0,0,0,0,4,0
Mortierella verticillata,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspergillus sp,0,0,0,0,0,0,0,0,1,41,0,0,0,0,0,0,0,0
Merimbla (unk species),0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Lachnum (unk species),0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Umbelopsis ramanniana,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saccharomyces cerevisiae,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sagenomella humicola,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
Basidiobolales (unk family),0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,30
Spizellomycetales (unk family),0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0
